Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp
192.168.1.13-192.168.1.3-38132-2010-6,192.168.1.13,38132,192.168.1.3,2010,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-56434-2001-6,192.168.1.13,56434,192.168.1.3,2001,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-46292-2161-6,192.168.1.13,46292,192.168.1.3,2161,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-59860-497-6,192.168.1.13,59860,192.168.1.3,497,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-39026-60020-6,192.168.1.13,39026,192.168.1.3,60020,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-34816-417-6,192.168.1.13,34816,192.168.1.3,417,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-58676-3005-6,192.168.1.13,58676,192.168.1.3,3005,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-56062-6788-6,192.168.1.13,56062,192.168.1.3,6788,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-51552-903-6,192.168.1.13,51552,192.168.1.3,903,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-57730-10616-6,192.168.1.13,57730,192.168.1.3,10616,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-55226-2038-6,192.168.1.13,55226,192.168.1.3,2038,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-36352-2401-6,192.168.1.13,36352,192.168.1.3,2401,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-49392-9102-6,192.168.1.13,49392,192.168.1.3,9102,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-35664-5560-6,192.168.1.13,35664,192.168.1.3,5560,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-40124-6003-6,192.168.1.13,40124,192.168.1.3,6003,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-41990-3659-6,192.168.1.13,41990,192.168.1.3,3659,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-55930-113-6,192.168.1.13,55930,192.168.1.3,113,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-51050-6346-6,192.168.1.13,51050,192.168.1.3,6346,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-48426-3827-6,192.168.1.13,48426,192.168.1.3,3827,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-55636-3784-6,192.168.1.13,55636,192.168.1.3,3784,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-44450-1107-6,192.168.1.13,44450,192.168.1.3,1107,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-39750-1063-6,192.168.1.13,39750,192.168.1.3,1063,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-49984-7070-6,192.168.1.13,49984,192.168.1.3,7070,6,21/11/2024 03:42:13 PM
