Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp
192.168.1.13-192.168.1.3-59170-3369-6,192.168.1.13,59170,192.168.1.3,3369,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-42606-5730-6,192.168.1.13,42606,192.168.1.3,5730,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-42864-32785-6,192.168.1.13,42864,192.168.1.3,32785,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-57218-1077-6,192.168.1.13,57218,192.168.1.3,1077,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-40888-49175-6,192.168.1.13,40888,192.168.1.3,49175,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-41552-2048-6,192.168.1.13,41552,192.168.1.3,2048,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-38772-1121-6,192.168.1.13,38772,192.168.1.3,1121,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-58196-2500-6,192.168.1.13,58196,192.168.1.3,2500,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-59178-1216-6,192.168.1.13,59178,192.168.1.3,1216,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-33994-6025-6,192.168.1.13,33994,192.168.1.3,6025,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-59562-1185-6,192.168.1.13,59562,192.168.1.3,1185,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-44754-50003-6,192.168.1.13,44754,192.168.1.3,50003,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-46156-8008-6,192.168.1.13,46156,192.168.1.3,8008,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-34236-22939-6,192.168.1.13,34236,192.168.1.3,22939,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-40524-30-6,192.168.1.13,40524,192.168.1.3,30,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-60470-7778-6,192.168.1.13,60470,192.168.1.3,7778,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-48684-2522-6,192.168.1.13,48684,192.168.1.3,2522,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-46142-990-6,192.168.1.13,46142,192.168.1.3,990,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-39446-30951-6,192.168.1.13,39446,192.168.1.3,30951,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-39402-1122-6,192.168.1.13,39402,192.168.1.3,1122,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-53588-9220-6,192.168.1.13,53588,192.168.1.3,9220,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-59538-8031-6,192.168.1.13,59538,192.168.1.3,8031,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-59432-1719-6,192.168.1.13,59432,192.168.1.3,1719,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-36782-1900-6,192.168.1.13,36782,192.168.1.3,1900,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-40934-9500-6,192.168.1.13,40934,192.168.1.3,9500,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-54440-10626-6,192.168.1.13,54440,192.168.1.3,10626,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-48416-1113-6,192.168.1.13,48416,192.168.1.3,1113,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-34168-4444-6,192.168.1.13,34168,192.168.1.3,4444,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-37020-3809-6,192.168.1.13,37020,192.168.1.3,3809,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-41202-9101-6,192.168.1.13,41202,192.168.1.3,9101,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-47038-1175-6,192.168.1.13,47038,192.168.1.3,1175,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-48122-9040-6,192.168.1.13,48122,192.168.1.3,9040,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-38630-6792-6,192.168.1.13,38630,192.168.1.3,6792,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-53710-1580-6,192.168.1.13,53710,192.168.1.3,1580,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-55988-15742-6,192.168.1.13,55988,192.168.1.3,15742,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-59830-9594-6,192.168.1.13,59830,192.168.1.3,9594,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-46148-11967-6,192.168.1.13,46148,192.168.1.3,11967,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-49842-5903-6,192.168.1.13,49842,192.168.1.3,5903,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-36330-3007-6,192.168.1.13,36330,192.168.1.3,3007,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-60320-3404-6,192.168.1.13,60320,192.168.1.3,3404,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-56310-1035-6,192.168.1.13,56310,192.168.1.3,1035,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-54356-56737-6,192.168.1.13,54356,192.168.1.3,56737,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-38356-2013-6,192.168.1.13,38356,192.168.1.3,2013,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-54696-5566-6,192.168.1.13,54696,192.168.1.3,5566,6,19/11/2024 11:23:54 PM
